City,State,District
Bandikui,Rajasthan,Dausa
Bandipore,Jammu & Kashmir,Baramula
Bandora,Goa,North Goa
Banga,Punjab,Nawanshahr
Bangalore,Karnataka,Bangalore
Bangaon,West Bengal,North Twentyfour Parganas
Bangarapet,Karnataka,Kolar
Bangarmau,Uttar Pradesh,Unnao
Bangawan,Madhya Pradesh,Shahdol
Bangramanjeshwar,Kerala,Kasaragod
Bangura,Orissa,Kendujhar
Banihal,Jammu & Kashmir,Doda
Banjar,Himachal Pradesh,Kullu
Banka,Bihar,Banka
Bankapura,Karnataka,Haveri
Banki,Orissa,Cuttack
Banki,Uttar Pradesh,Barabanki
Bankner,Delhi *,North West
Bankra,West Bengal,Haora
Bankura,West Bengal,Bankura
Banmankhi Bazar,Bihar,Purnia
Bannur,Karnataka,Mysore
Bansatar Kheda,Madhya Pradesh,Damoh
Bansberia,West Bengal,Hugli
Bansdih,Uttar Pradesh,Ballia
Bansgaon,Uttar Pradesh,Gorakhpur
Banshra,West Bengal,Barddhaman
Bansi,Uttar Pradesh,Siddharthnagar
Banswara,Rajasthan,Banswara
Bantwa,Gujarat,Junagadh
Bantwal,Karnataka,Dakshina Kannada
Banupur,West Bengal,Haora
Bapatla,Andhra Pradesh,Guntur
Bara Bamonia,West Bengal,North Twentyfour Parganas
Barabazar,West Bengal,Puruliya
Baragaon,Uttar Pradesh,Jhansi
Baragaon,Uttar Pradesh,Varanasi
Barahiya,Bihar,Lakhisarai
Baraily,Madhya Pradesh,Raisen
Barajamda,Jharkhand,Pashchimi Singhbhum
Baramati,Maharashtra,Pune
Baramula,Jammu & Kashmir,Baramula
Baran,Rajasthan,Baran
Baranagar,West Bengal,North Twentyfour Parganas
Barapali,Orissa,Bargarh
Barasat,West Bengal,North Twentyfour Parganas
Barauli,Bihar,Gopalganj
Barauni IOC Township,Bihar,Begusarai
Baraut,Uttar Pradesh,Baghpat
Barbari (AMC Area),Assam,Dibrugarh
Barbigha,Bihar,Sheikhpura
Barbil,Orissa,Kendujhar
Barddhaman,West Bengal,Barddhaman
Bardoli,Gujarat,Surat
Bareilly,Uttar Pradesh,Bareilly
Bareilly,Uttar Pradesh,Bareilly
Barela,Madhya Pradesh,Jabalpur
Baretta,Punjab,Mansa
Bargarh,Orissa,Bargarh
Barghat,Madhya Pradesh,Seoni
Bargur,Tamil Nadu,Dharmapuri
Barh,Bihar,Patna
Barhalganj,Uttar Pradesh,Gorakhpur
Barhani Bazar,Uttar Pradesh,Siddharthnagar
Barhi,Jharkhand,Hazaribag
Barhi,Madhya Pradesh,Katni
Bari,Rajasthan,Dhaulpur
Bari Brahmana,Jammu & Kashmir,Jammu
Bari Sadri,Rajasthan,Chittaurgarh
Barigarh,Madhya Pradesh,Chhatarpur
Barijhati,West Bengal,Hugli
Baripada,Orissa,Mayurbhanj
Bariwala,Punjab,Muktsar
Barjora,West Bengal,Bankura
Barkakana,Jharkhand,Hazaribag
Barkhera,Uttar Pradesh,Pilibhit
Barkot,Uttaranchal,Uttarkashi
Barmer,Rajasthan,Barmer
Barnala,Punjab,Sangrur
Barpathar,Assam,Golaghat
Barpeta,Assam,Barpeta
Barpeta Road,Assam,Barpeta
Barrackpur,West Bengal,North Twentyfour Parganas
Barrackpur Cantonment,West Bengal,North Twentyfour Parganas
Barsana,Uttar Pradesh,Mathura
Barshi,Maharashtra,Solapur
Barua Sagar,Uttar Pradesh,Jhansi
Barughutu,Jharkhand,Hazaribag
Baruihuda,West Bengal,Nadia
Baruipur,West Bengal,South Twentyfour Parganas
Barwadih,Jharkhand,Palamu
Barwaha,Madhya Pradesh,West Nimar
Barwala,Haryana,Hisar
Barwani,Madhya Pradesh,Barwani
Barwar,Uttar Pradesh,Kheri
Basar,Arunachal Pradesh,West Siang
Basaria,Jharkhand,Dhanbad
Basavakalyan,Karnataka,Bidar
Basavana Bagevadi,Karnataka,Bijapur
Bashohli,Jammu & Kashmir,Kathua
Basirhat,West Bengal,North Twentyfour Parganas
Baska,West Bengal,Barddhaman
Basmath,Maharashtra,Hingoli
Basna,Chhattisgarh,Mahasamund
Basni Belima,Rajasthan,Nagaur
Basoda,Madhya Pradesh,Vidisha
Bassi Pathana,Punjab,Fatehgarh Sahib
Basti,Uttar Pradesh,Basti
Basudebpur,Orissa,Bhadrak
Basugaon,Assam,Kokrajhar
Basukinath,Jharkhand,Dumka
Batala,Punjab,Gurdaspur
Bathinda,Punjab,Bathinda
Batlagundu,Tamil Nadu,Dindigul
Batote,Jammu & Kashmir,Doda
Baudhgarh,Orissa,Baudh
Bavla,Gujarat,Ahmadabad
Bawal,Haryana,Rewari
Bawana,Delhi *,North West
Bawani Khera,Haryana,Bhiwani
Bayana,Rajasthan,Bharatpur
Beawar,Rajasthan,Ajmer
Bedi,Gujarat,Jamnagar
Beejoliya Kalan,Rajasthan,Bhilwara
Beerwah,Jammu & Kashmir,Badgam
Begamganj,Madhya Pradesh,Raisen
Begampur,West Bengal,Hugli
Begowal,Punjab,Kapurthala
Begum Pur,Delhi *,North West
Begumabad Budhana,Uttar Pradesh,Ghaziabad
Begun,Rajasthan,Chittaurgarh
Begusarai,Bihar,Begusarai
Behat,Rajasthan,Saharanpur
Behea,Bihar,Bhojpur
Behror,Rajasthan,Alwar
Behta Hajipur,Uttar Pradesh,Ghaziabad
Bela Pratapgarh,Uttar Pradesh,Pratapgarh
Belagachhia,Orissa,Cuttack
Beldanga,West Bengal,Murshidabad
Beldubi,West Bengal,Haora
Belebathan,West Bengal,Barddhaman
Belgaum,Karnataka,Belgaum
Belgaum Cantonment,Karnataka,Belgaum
Beliatore,West Bengal,Bankura
Bellaguntha,Orissa,Ganjam
Bellampalle,Andhra Pradesh,Adilabad
Bellary,Karnataka,Bellary
Belonia,Tripura,South Tripura
Belpahar,Orissa,Jharsuguda
Belsand,Bihar,Sitamarhi
Beltangadi,Karnataka,Dakshina Kannada
Belthara Road,Uttar Pradesh,Ballia
Belur,Tamil Nadu,Salem
Belur,Karnataka,Hassan
Belvata,Karnataka,Mysore
Bemetra,Chhattisgarh,Durg
Benaulim,Goa,South Goa
Beniganj,Uttar Pradesh,Hardoi
Beohari,Madhya Pradesh,Shahdol
Berasia,Madhya Pradesh,Bhopal
Beri,Haryana,Jhajjar
Bermo,Jharkhand,Bokaro
Bestavaripeta,Andhra Pradesh,Prakasam
Beswan,Uttar Pradesh,Aligarh
Bethamcheria,Andhra Pradesh,Kurnool
Betma,Madhya Pradesh,Indore
Bettiah,Bihar,Pashchim Champaran
Betul,Madhya Pradesh,Betul
Betul-Bazar,Madhya Pradesh,Betul
Bewar,Uttar Pradesh,Mainpuri
Beypore,Kerala,Kozhikode
Bhabat,Punjab,Rupnagar
Bhabua,Bihar,Kaimur (Bhabua)
Bhachau,Gujarat,Kachchh
Bhadarsa,Uttar Pradesh,Faizabad
Bhadaur,Punjab,Sangrur
Bhaderwah,Jammu & Kashmir,Doda
Bhadohi,Uttar Pradesh,Sant Ravidas Nagar
Bhadra,Rajasthan,Hanumangarh
Bhadrachalam,Andhra Pradesh,Khammam
Bhadrak,Orissa,Bhadrak
Bhadravati,Maharashtra,Chandrapur
Bhadravati,Karnataka,Shimoga
Bhadreswar,West Bengal,Hugli
Bhagalpur (M.Corp),Bihar,Bhagalpur
Bhagatdih,Jharkhand,Dhanbad
Bhagur,Maharashtra,Nashik
Bhagwant Nagar,Uttar Pradesh,Unnao
Bhainsa,Andhra Pradesh,Adilabad
Bhainsdehi,Madhya Pradesh,Betul
Bhalariya,Rajasthan,Udaipur
Bhalki,Karnataka,Bidar
Bhalswa Jahangir Pur,Delhi *,North West
Bhamodi,Madhya Pradesh,Chhindwara
Bhandara,Maharashtra,Bhandara
Bhandardaha,West Bengal,Haora
Bhander,Madhya Pradesh,Datia
Bhangar Raghunathpur,West Bengal,South Twentyfour Parganas
Bhangri Pratham Khanda,West Bengal,Koch Bihar
Bhanjanagar,Orissa,Ganjam
Bhankharpur,Punjab,Patiala
Bhanowara,West Bengal,Barddhaman
Bhanpura,Madhya Pradesh,Mandsaur
Bhanpuri,Chhattisgarh,Raipur
Bhanvad,Gujarat,Jamnagar
Bharat Heavy Electrical Limited Ranipur,Uttaranchal,Hardwar
Bharatganj,Uttar Pradesh,Allahabad
Bharatpur,Rajasthan,Bharatpur
Bhargain,Uttar Pradesh,Etah
Bharoli Kalan,Punjab,Gurdaspur
Bharthana,Uttar Pradesh,Etawah
Bharuch,Gujarat,Bharuch
Bharuch INA,Gujarat,Bharuch
Bharuhana,Uttar Pradesh,Mirzapur
Bharveli,Madhya Pradesh,Balaghat
Bharwari,Uttar Pradesh,Kaushambi
Bhatapara,Chhattisgarh,Raipur
Bhatgaon,Chhattisgarh,Raipur
Bhati,Delhi *,South
